RamanShift (cm-1)	00:00:27	00:01:30	00:02:00	00:02:30	00:03:00	00:03:30	00:04:00	00:04:30	00:05:00	00:05:30	00:06:00	00:06:30	00:07:00	00:07:30	00:08:00	00:08:30	00:09:00	00:09:30	00:10:00	00:10:30	00:11:00	00:11:30	00:12:00	00:12:30	00:13:00	00:13:30	00:14:00	00:14:30	00:15:00	00:15:30	00:16:00	00:16:30	00:17:00	00:17:30
3364.0000	3667.74582078	3355.53735461	4131.45795014	3511.60837505	4319.65556976	4538.49441232	4336.21837766	4598.57177933	4095.36936151	4782.15965628	3581.82973516	3615.75074935	3850.73315787	3888.93568850	3779.49787915	3872.61054548	3003.45285219	4105.93180347	3670.44414241	4224.08702616	4133.03390588	3735.42761862	4214.32242840	3414.10799859	3745.37867399	4420.58901932	3288.49535475	3499.10053366	4315.30606730	4782.72027641	3536.86917877	4163.57262164	4240.94754402	4158.73843664
3363.0000	3613.95419918	3662.51046554	4049.28668343	3886.53304988	4758.60756457	4591.24678729	4302.71463953	4574.41324336	4026.06473677	4936.32965545	4079.64830506	3577.10160904	3910.82378122	4087.69933443	3826.79319918	4447.62277599	3597.10844880	3828.82344056	3717.41545506	4396.41830298	4602.82491729	3955.14391093	4117.68194430	3262.92568335	4213.66262191	4454.75738325	3608.64642287	3989.59162474	4276.29976198	4539.04138607	3579.06243716	4838.13201103	4541.20589861	4412.05166890
3362.0000	3885.28060037	4640.86545839	4792.89989214	4624.59082878	4849.40423471	4661.07272847	4684.37036511	5102.97112921	4260.51372857	5333.61319828	4770.59206002	4368.03619546	4248.69579107	4880.72908593	4257.22470526	5228.09049183	4543.05755761	4173.82742558	4396.43313651	5119.76493113	5052.53558189	4681.92998333	4465.62911060	3609.10621871	5047.99748869	4964.55703181	4296.95095730	4954.80614981	4326.83000942	4800.35572171	3887.30608592	5457.02155809	4709.47848669	4825.49044741
3361.0000	3936.78516912	5074.78004834	5407.93498175	5048.36636354	4490.03406060	4676.58390253	4864.66437057	5362.29196627	4410.92738050	5399.56770793	5022.15381622	5027.21564468	4434.81770434	5464.23271595	4856.50563163	5341.74170334	5061.85628056	4779.94115897	5033.46858162	5436.54182127	5121.82216957	4943.71841560	4544.55703296	3899.92156507	5368.63996997	5350.12329318	4445.17708836	5458.62005625	4327.63628729	5077.43370815	4456.87393022	5360.82536471	4789.06066065	4653.15165594
3360.0000	3970.98920479	4715.26299700	5406.96063245	5354.98901972	4445.64669290	4873.98726481	4804.29031321	5434.04552449	4600.43545630	5440.43938469	4993.65566643	5453.94410561	4804.78089548	5664.83348903	5302.26547252	5232.98913886	5240.90787295	5419.40531587	5443.51843477	5154.69528163	5091.42549381	4693.46180080	4483.04745536	4391.36091342	5428.38383425	5257.53813068	4224.52995047	5404.75531471	4390.88873399	4817.89350333	5189.43635577	4971.63671477	4960.56455558	4592.52521504
3359.0000	4138.81820350	4213.08351155	5212.74234884	5533.94590761	4589.94201874	4934.44638716	4804.54195587	5565.26531101	4953.53235578	5795.84710050	4894.86916393	5668.26330037	5214.34830191	5606.83071858	5247.69631065	5382.82399713	5213.31108534	5505.34766989	5333.04713160	4883.07053818	5035.54047440	4644.63969821	4615.04433609	4921.50031427	5448.44110677	4950.18280210	4047.30601868	5143.42432617	4404.00263841	4389.76929094	5208.91621104	4791.33469910	4805.25228830	4960.46452041
3358.0000	4266.89431255	4165.22387299	5111.63401966	5243.75695300	4468.46384979	4748.66465526	4958.73894445	5384.81187752	5145.68093405	5833.10124099	4632.37507579	5363.92421909	5084.54090579	5176.62922732	4856.50331463	5643.02527824	5064.67126971	4701.72373590	4524.50903655	4827.53129921	4756.09430042	4955.74992961	4526.07989094	4857.30441043	5166.39124755	4824.70337226	3931.16679871	4913.75694341	4368.57780318	4319.65051906	4268.15341712	4588.00918956	4184.01256455	5004.58046626
3357.0000	4389.00941798	4600.32610170	4920.53661759	4858.80447607	4615.13447726	4604.35293588	5172.76697146	4899.38714605	4925.70386351	5336.29857100	4364.16333571	4702.03844830	4551.75428366	4576.12634181	4645.81879847	5683.58180534	4941.45397819	4002.31241251	3892.25685720	4851.55705573	4575.68052130	5245.44166165	4102.83892237	4457.27302164	4871.04595288	5028.99458294	4078.78537429	4870.38515603	4325.48326599	4374.88543762	3681.99704589	4297.04610964	3754.04592344	4878.59236768
3356.0000	4506.41434709	4889.80699628	4685.86749819	4905.14351120	5255.11746071	4383.02443654	5063.03370254	4588.11743718	4527.83245503	5097.61309354	4466.06803506	4412.48598669	4515.02107239	4474.26505641	4678.43020846	5320.29956119	4873.12055907	4493.89638129	4221.48095323	5193.08240806	4818.41823285	5185.92144535	4098.15935590	4537.38167710	5038.48027105	5439.68871902	4555.26447954	5084.94395782	4193.70711155	4218.92155989	4265.38286314	4459.82544991	3969.87031695	5334.51446707
3355.0000	4682.76405434	5004.47042706	4830.10218367	5294.59671062	5681.01833291	4422.51359093	4568.91388842	4687.19724978	4391.46594526	5321.22177562	4991.90536817	5020.83630868	5291.59446453	5042.90729881	4810.98827868	4912.16333955	5057.67692169	5618.12310977	5048.69121787	5912.92923290	5189.80217125	4856.14944965	4833.22763325	5287.39550133	5472.98014182	5722.39876427	5015.22214734	5629.08044361	4273.34483752	4223.08272518	5238.37782198	5082.91348071	4689.78197988	5981.75084253
